ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
3.46429,240,5236,97,187,0.0314,0.000119,0.027092
4.8006,260,1991,162,59,0.011952,8.5e-05,0.008833
8.41001,280,939,53,149,0.009095,4.1e-05,0.003846
6.68427,105,1742,71,164,0.010081,6.2e-05,0.007592
9.08502,126,988,88,102,0.007201,4.3e-05,0.004565
8.72386,147,1387,100,121,0.010682,8.1e-05,0.005954
8.36872,168,1055,81,109,0.007961,4.2e-05,0.004353
4.09831,189,4557,203,92,0.027545,0.000197,0.020957
6.45997,210,2348,158,96,0.018506,8.8e-05,0.011666
9.4681,231,1442,123,111,0.015101,7.6e-05,0.008676
8.12208,252,1753,113,126,0.016182,9.9e-05,0.010152
7.73849,273,4302,137,243,0.054991,0.000284,0.032154
9.71037,294,984,105,91,0.011233,7.6e-05,0.004219
9.03543,110,2738,173,143,0.023886,0.000125,0.013419
12.0493,132,3326,233,172,0.046327,0.000135,0.020343
5.42702,154,4063,75,294,0.027765,9.7e-05,0.023591
9.15838,176,1307,126,95,0.011413,6.4e-05,0.005469
8.71909,198,3122,167,163,0.033826,0.000117,0.02088
9.76836,220,3717,247,147,0.056538,0.000172,0.031973
6.04376,242,3702,198,113,0.032036,0.000157,0.021763
7.38075,264,1434,63,168,0.012585,5.7e-05,0.007945
5.82805,286,1326,46,168,0.009051,3.3e-05,0.004458
6.50615,308,4064,193,137,0.04739,0.000196,0.029313
11.043,115,1603,106,167,0.01467,8.8e-05,0.007398
5.98794,138,11444,282,243,0.146849,0.000496,0.103055
7.55485,161,3774,198,144,0.036101,0.000127,0.021967
5.72812,184,3873,153,145,0.027454,0.000211,0.020393
12.8425,207,997,97,132,0.012504,5.9e-05,0.004779
6.26286,230,4919,163,189,0.048628,0.000245,0.037077
12.5241,253,2328,148,197,0.035328,9.7e-05,0.012387
6.98292,276,1054,115,64,0.008534,3.3e-05,0.003976
7.10607,299,1631,95,122,0.015187,6.7e-05,0.008599
5.51897,322,1160,97,66,0.007932,5e-05,0.00467
11.0238,120,631,74,94,0.004975,3.3e-05,0.00236
7.04681,144,4849,170,201,0.04295,0.000232,0.029567
7.63883,168,4646,210,169,0.049779,0.000262,0.036035
12.519,192,842,127,83,0.00971,5e-05,0.00359
5.54046,216,1001,47,118,0.005427,3.7e-05,0.003785
15.088,240,1307,136,145,0.021398,8.2e-05,0.006841
6.27778,264,5184,226,144,0.062233,0.000144,0.029537
8.2795,288,1932,86,186,0.020673,9.8e-05,0.008861
8.94637,312,2741,201,122,0.037342,0.0001,0.016351
12.021,336,2189,223,118,0.043223,8.8e-05,0.012199
10.7888,125,2675,156,185,0.028984,8.9e-05,0.015276
14.33,150,2315,171,194,0.035332,0.00015,0.014707
9.86755,175,6191,205,298,0.104472,0.000182,0.053852
6.05431,200,4806,183,159,0.04329,0.000244,0.026976
10.8311,225,1794,153,127,0.022181,7.7e-05,0.009975
7.44362,250,3503,175,149,0.03784,0.000157,0.021309
9.9704,275,4020,149,269,0.066211,0.000197,0.033684
17.4883,300,6004,300,350,0.230587,0.000407,0.07206
6.58065,325,9889,187,348,0.168901,0.000349,0.08842
12.1317,350,1245,128,118,0.019803,7.8e-05,0.005115
8.33887,130,6017,225,223,0.066396,0.000284,0.041232
11.5867,156,5158,446,134,0.083205,0.000154,0.040747
10.7329,182,3343,260,138,0.045176,0.000177,0.021669
11.485,208,2505,137,210,0.033879,0.000149,0.01763
4.13151,234,14600,232,260,0.174308,0.000773,0.109824
4.24101,260,5676,354,68,0.048995,9.4e-05,0.02306
3.77616,286,25804,336,290,0.414042,0.000907,0.284287
6.72,312,2100,96,147,0.021414,7.4e-05,0.01185
5.60651,338,5042,191,148,0.052719,0.000307,0.037277
7.59161,364,5911,162,277,0.089001,0.000425,0.047113
12.3453,135,1859,150,153,0.01986,0.00018,0.009039
14.4709,162,4649,225,299,0.088992,0.000224,0.045214
9.21331,189,5588,211,244,0.079756,0.000299,0.040917
8.5721,216,2129,146,125,0.022321,6.8e-05,0.008348
21.09,243,2599,363,151,0.072255,0.000111,0.02309
12.9181,270,3490,221,204,0.072353,0.000184,0.026567
7.70065,297,3060,86,274,0.036688,0.000108,0.018277
8.28205,324,3510,114,255,0.048071,0.000139,0.021752
10.0014,351,6967,260,268,0.142319,0.000658,0.081171
11.2859,378,12129,443,309,0.401119,0.000309,0.151763
14.5985,140,2426,233,152,0.037363,9.3e-05,0.016567
11.0145,168,14502,348,459,0.390858,0.000671,0.202127
12.9566,196,5440,268,263,0.110068,0.000285,0.047593
8.15174,224,10861,434,204,0.187245,0.000624,0.112896
10.2078,252,6577,417,161,0.131405,0.00045,0.047331
10.5482,280,1959,164,126,0.028054,9e-05,0.013212
8.30086,308,8140,223,303,0.166156,0.000271,0.079103
13.4401,336,2154,193,150,0.04331,0.000133,0.011801
14.7817,364,10184,417,361,0.381594,0.000378,0.134727
5.29018,392,16593,330,266,0.33272,0.00063,0.166547
15.4805,145,6545,340,298,0.149867,0.00038,0.067679
6.73376,174,9777,302,218,0.142492,0.000227,0.068474
8.14496,203,4898,327,122,0.059068,0.00018,0.027636
8.88641,232,8980,285,280,0.187898,0.000351,0.10624
10.7674,261,5403,303,192,0.115193,0.000179,0.044282
7.55084,290,8527,147,438,0.145938,0.000338,0.085915
10.5,319,3888,216,189,0.070061,0.000151,0.029624
13.4747,348,5090,322,213,0.128936,0.000485,0.046151
12.9108,377,7345,327,290,0.212754,0.000363,0.078706
7.39438,406,3844,187,152,0.054563,0.000175,0.026031
4.79042,50,167,25,32,0.000301,1e-05,0.00047
2.67568,60,148,33,12,0.00017,4e-06,0.000287
3.77778,70,63,17,14,0.000131,3e-06,0.000148
3.7362,80,163,21,29,0.000349,1.4e-05,0.000405
4.5,90,224,28,36,0.000588,1.7e-05,0.000606
4.63473,100,167,18,43,0.000468,1.3e-05,0.000415
4.65306,110,98,24,19,0.000287,7e-06,0.00026
3.82609,120,92,16,22,0.000218,6e-06,0.000239
3.1747,130,166,17,31,0.000363,1.1e-05,0.00046
3.21397,140,229,46,16,0.000534,1.4e-05,0.000556
6.34242,55,330,23,91,0.000862,1.1e-05,0.001073
8.41772,66,158,35,38,0.000687,1.5e-05,0.000469
6,77,153,27,34,0.000507,9e-06,0.000418
4.11765,88,136,40,14,0.000332,4e-06,0.000285
5.28302,99,159,28,30,0.000481,1e-05,0.000433
4.54128,110,218,30,33,0.00062,1.8e-05,0.000614
4.98077,121,208,28,37,0.000672,1.4e-05,0.000635
3.42678,132,478,63,26,0.001228,1.4e-05,0.001108
4.94764,143,382,63,30,0.00141,1.5e-05,0.001012
5.71765,154,85,18,27,0.000331,7e-06,0.000228
8.04,60,500,60,67,0.001753,2.6e-05,0.001675
9.91011,72,267,42,63,0.001485,1.5e-05,0.000943
5.60825,84,97,32,17,0.000302,5e-06,0.000252
2.63158,96,779,82,25,0.001578,2e-05,0.001988
