ratio,variables,gens I_dual,gens I1,CoCoALib,BDD,M2
2,4,2,2,2.1e-05,3e-06,0.000218
3,6,3,2,2e-05,4e-06,0.00027
9,8,9,4,4.1e-05,1e-05,0.00051
16,10,16,5,7.4e-05,2.6e-05,0.000795
7,12,7,2,2.5e-05,8e-06,0.000425
18,14,18,3,5.7e-05,2.1e-05,0.000866
20,16,20,3,6.8e-05,2.3e-05,0.001022
23,18,23,3,7.2e-05,2e-05,0.001155
26,20,26,5,0.000104,3.5e-05,0.001281
39,22,39,6,0.000217,9.1e-05,0.00181
22,24,22,5,0.000137,4.2e-05,0.001104
32,26,32,4,0.000151,5.4e-05,0.001433
23,28,23,3,9.1e-05,3.4e-05,0.001078
4,6,4,4,2.6e-05,1e-05,0.000317
11,9,11,9,7e-05,2.2e-05,0.00062
30,12,30,9,0.000142,4.8e-05,0.001449
26,15,26,9,0.000154,5.2e-05,0.001323
61,18,61,10,0.000463,0.000192,0.002764
72,21,72,16,0.000971,0.00029,0.003503
60,24,60,9,0.000327,0.000114,0.002731
83,27,83,12,0.000641,0.000341,0.036065
87,30,87,15,0.001334,0.000397,0.004071
128,33,128,18,0.002006,0.000954,0.006457
133,36,133,17,0.002164,0.000869,0.006457
129,39,129,16,0.00214,0.000801,0.006462
150,42,150,17,0.003175,0.000793,0.00753
3,8,3,4,2.6e-05,6e-06,0.000293
14,12,14,15,0.000114,3.4e-05,0.000834
19,16,19,11,0.000147,4.7e-05,0.001059
62,20,62,22,0.000866,0.000303,0.036864
70,24,70,24,0.000979,0.000338,0.003711
116,28,116,25,0.001744,0.000939,0.006273
138,32,138,29,0.007073,0.002722,0.007568
113,36,113,24,0.002167,0.00096,0.006195
245,40,245,37,0.007764,0.003033,0.044632
237,44,237,36,0.006724,0.002492,0.04574
197,48,197,32,0.007075,0.001899,0.041242
378,52,378,31,0.014708,0.005326,0.054768
442,56,442,44,0.022344,0.007384,0.023069
6,10,6,9,3.8e-05,1.3e-05,0.000441
26,15,26,26,0.000317,0.000156,0.001419
52,20,52,32,0.000894,0.000313,0.00329
93,25,93,47,0.002162,0.000724,0.005073
166,30,166,31,0.003009,0.001502,0.008857
187,35,187,51,0.00565,0.001911,0.041505
223,40,223,43,0.008368,0.002964,0.046558
329,45,329,54,0.014898,0.004699,0.017882
500,50,500,71,0.037237,0.012085,0.028088
589,55,589,70,0.042298,0.013753,0.067599
504,60,504,53,0.030623,0.009855,0.061634
784,65,784,75,0.072055,0.019612,0.113576
819,70,819,75,0.120708,0.021919,0.117947
6,12,6,7,3.7e-05,1.6e-05,0.000438
46,18,46,25,0.000497,0.000232,0.002679
114,24,114,46,0.001858,0.000942,0.006819
193,30,193,84,0.010117,0.002285,0.046462
217,36,217,64,0.008785,0.002338,0.012169
252,42,252,65,0.011083,0.003209,0.05019
394,48,394,77,0.023744,0.008886,0.023153
710,54,710,112,0.09399,0.021868,0.110075
878,60,878,143,0.15502,0.032752,0.089737
830,66,830,117,0.145411,0.028792,0.12203
981,72,981,123,0.194557,0.033639,0.132263
1072,78,1072,108,0.234395,0.036237,0.102756
1356,84,1356,125,0.300738,0.079958,0.194979
7,14,7,12,5.1e-05,2.6e-05,0.000517
49,21,49,51,0.001039,0.000366,0.002981
86,28,86,53,0.002145,0.000832,0.005516
264,35,264,129,0.01995,0.004526,0.015503
375,42,375,119,0.036542,0.009326,0.022992
780,49,780,212,0.15111,0.030744,0.082135
965,56,965,214,0.25372,0.057206,0.129487
1275,63,1275,188,0.290862,0.067329,0.153286
769,70,769,135,0.147139,0.027507,0.083825
1509,77,1509,196,0.564296,0.122571,0.175949
2434,84,2434,267,1.57863,0.234977,0.365012
2386,91,2386,251,1.46143,0.209304,0.358936
2646,98,2646,274,2.29296,0.35481,0.3923
10,16,10,25,0.00012,5.4e-05,0.000775
57,24,57,46,0.000802,0.000505,0.003688
208,32,208,89,0.008577,0.003596,0.0128
311,40,311,160,0.030607,0.005982,0.019529
455,48,455,156,0.049024,0.015021,0.029204
984,56,984,279,0.265352,0.057009,0.139439
1191,64,1191,285,0.411152,0.094767,0.153617
1467,72,1467,264,0.623634,0.101693,0.17938
2237,80,2237,376,1.73521,0.242679,0.356214
3097,88,3097,417,2.9344,0.441489,0.528609
3665,96,3665,495,5.22466,0.669126,0.6234
4624,104,4624,523,8.14242,1.17274,0.732956
3191,112,3191,311,2.64663,0.591695,0.553806
14,18,14,33,0.00016,9.3e-05,0.001007
84,27,84,105,0.003158,0.000986,0.005337
261,36,261,232,0.030691,0.005412,0.052837
587,45,587,357,0.165881,0.021706,0.078278
898,54,898,363,0.322322,0.053266,0.13635
1518,63,1518,482,0.87421,0.137569,0.22368
2352,72,2352,579,2.45361,0.328929,0.374018
2851,81,2851,571,3.75885,0.546961,0.483337
3467,90,3467,534,4.56913,0.597527,0.65031
4604,99,4604,696,9.37407,1.00824,0.757856
6321,108,6321,738,17.7213,2.71873,1.09923
7392,117,7392,665,23.2923,4.46501,1.35587
6088,126,6088,525,12.9409,1.88221,1.06849
